ETC_20150317_000001	Кепа
ETC_20150317_000542	Горгона
ETC_20150317_000543	Lithoreх
ETC_20150317_000544	МОУ
ETC_20150317_000545	Скорпион
ETC_20150317_000546	Смертьweaver
ETC_20150317_000547	Templeshooter
ETC_20150317_000548	Chapparition
ETC_20150317_000549	Минотавр
ETC_20150317_000550	Цербер
ETC_20150317_000551	Проклятый DevilgЛюбовь
ETC_20150317_000552	Гигантские Леший
ETC_20150317_000553	Helgasercle отражение
ETC_20150317_000554	Хори Мастера
ETC_20150317_000555	Vubbe Воин
ETC_20150317_000556	Вызвали Миньон
ETC_20150317_000557	Пугало
ETC_20150317_000558	Aukuras
ETC_20150317_000559	Высокая Vubbe
ETC_20150317_000560	Водяной орех
ETC_20150317_000561	Факел
ETC_20150317_000562	Хрустальный Паук
ETC_20150317_000563	Благодаря своему внешнему виду, начинающие шахтеры часто пытаются добыть кристалл на спину паука и нападает.
ETC_20150317_000564	Рой пчел
ETC_20150317_000565	Водяной орех
ETC_20150317_000566	Filibo
ETC_20150317_000567	Те, кто видят Filibo как маленькие и милые твари быстро быть опасен для окружающих.
ETC_20150317_000568	Святая Вода Бутылка
ETC_20150317_000569	Брамбл Событие
ETC_20150317_000570	Цепь
ETC_20150317_000571	Гайд коробка
ETC_20150317_000572	Bat
ETC_20150317_000573	Действуя как Mirtis " разведчик миньон, этих летучих мышей, когда-то жили по всему миру, но выросли в большой угрозой, несмотря на их маленьких телах.
ETC_20150317_000574	Поле Ginklas
ETC_20150317_000575	Поле Netherbovine
ETC_20150317_000576	Роковой Biteregina
ETC_20150317_000577	Nureongi
ETC_20150317_000578	Спек
ETC_20150317_000579	Белые Пятна
ETC_20150317_000580	х
ETC_20150317_000581	Наковальня
ETC_20150317_000582	HoГМa Воин
ETC_20150317_000583	Хотя Hogmas умнее Vubbes и может использовать инструменты, их звероподобный инстинкты задушить любого прогресса и повлечь за собой множество глупых ошибок.
ETC_20150317_000584	Hogma Лучник
ETC_20150317_000585	Уравновешенная Hogmas часто видели в роли лучников.
ETC_20150317_000586	Hogma Шаман
ETC_20150317_000587	Некоторые Hogmas подобрали способностей через опыт, но у них еще есть Hogma инстинкты.
ETC_20150317_000588	Ellom
ETC_20150317_000589	Говорят, что они получают свои полномочия от людских душах, потому что они собираются в сторону потерпевшего.
ETC_20150317_000590	Зеленый Ellom
ETC_20150317_000591	Этот тип Ellom токсичен.
ETC_20150317_000592	Желтый Ellom
ETC_20150317_000593	Merog Шаман
ETC_20150317_000594	Merog вариант. Незначительные различия в мутационного процесса отличает разнообразие Merogs.
ETC_20150317_000595	Merog Стингер
ETC_20150317_000596	Эта рептилия монстр атакует инстинктивно, но показывает, как много способностей, как и его интеллект.
ETC_20150317_000597	Hogma Капитан
ETC_20150317_000598	В Hogma, чей разум и инстинкт дать им лидерство в борьбе против людей.
ETC_20150317_000599	Chupaluka
ETC_20150317_000600	Монстр, который, как говорят, созданы демонами, используя чупакабра.
ETC_20150317_000601	Ellomago
ETC_20150317_000602	Это как в природе грязный и угрюмый в своей внешности.
ETC_20150317_000603	Ellogua
ETC_20150317_000604	Он свиреп против других монстров и людей, более, особенно с насекомыми типа монстров.
ETC_20150317_000605	Гролл
ETC_20150317_000606	Амфибий, которые имеют разветвленные и эволюционировали, чтобы иметь возможность охотиться в засушливых районах, путешественники должны опасаться их.
ETC_20150317_000607	Вендиго
ETC_20150317_000608	Монстр с привычкой травлю и нападения на людей.
ETC_20150317_000609	Ящер
ETC_20150317_000610	Вы можете рассказать происхождение этого зверя просто по его имени или внешности.
ETC_20150317_000611	Тама
ETC_20150317_000612	Тама-монстр родом из споры некоторых растений. Неясно, будет ли он все равно будет расти из его нынешнем виде.
ETC_20150317_000613	Kepari
ETC_20150317_000614	Kepari не связанных с Кемпы, и вместо сродни животным.
ETC_20150317_000615	Kodomor
ETC_20150317_000616	С момента исчезновения из богинь, одной из самых странных перемен заключается в том, что эти воды-жилища существ, которые сейчас активны на суше.
ETC_20150317_000617	Kowak
ETC_20150317_000618	Он по-прежнему имеет тенденцию тяготеть к гнилой плоти.
