ITEM_20150317_000001	Пустой шлем 
ITEM_20150317_000442	Пуля Шутер 
ITEM_20150317_000443	Черным Кончиком Смычка 
ITEM_20150317_000444	Шипами Арбалет 
ITEM_20150317_000445	Брашпиль
ITEM_20150317_000446	Тяжелый Арбалет
ITEM_20150317_000447	Правда немного тяжелый, в магии вливаются в сам лук компенсировать этот недостаток. 
ITEM_20150317_000448	Широкий Арбалет 
ITEM_20150317_000449	Для тех, кто с хорошей целью, это хороший арбалет в интернет-смертельные удары до цели. 
ITEM_20150317_000450	Большой Крест 
ITEM_20150317_000451	Очень популярны среди лучников арбалет из-за его высокое качество и отсутствие недостатков. 
ITEM_20150317_000452	Cheminis Арбалет 
ITEM_20150317_000453	Оружие на основе алхимии пользуются большим спросом со времен Великой завода катаклизма.
ITEM_20150317_000454	Медина Арбалет 
ITEM_20150317_000455	Это оружие в специализированных принимая вниз хорошо оснащенных врагов.
ITEM_20150317_000456	Регина Арбалет 
ITEM_20150317_000457	Не достаточно хорошо, чтобы считаться "владыкой арбалеты", но титул "Королева" кажется справедливым. 
ITEM_20150317_000458	Чеканщик 
ITEM_20150317_000459	Часто используется лучников эксплуатации в районах с плохой видимости или сильном ветре. 
ITEM_20150317_000460	Imperni Арбалет 
ITEM_20150317_000461	Слухи утверждают, что черный рынок оружия намеренно сделано, чтобы быть дорогим в обслуживании. 
ITEM_20150317_000462	Могила Арбалет 
ITEM_20150317_000463	Это оружие рекомендуется, если вы намерены прочно поставить цель, чтобы спать. 
ITEM_20150317_000464	Смит Арбалет 
ITEM_20150317_000465	Это оружие будет только интернет, как много повреждение как вы ожидаете, что каждый раз, когда вы спустить курок.
ITEM_20150317_000466	Klavis Арбалет 
ITEM_20150317_000467	Вы могли быть самым первым человеком, чтобы вытянуть истинный потенциал этого оружия. 
ITEM_20150317_000468	Молотить Арбалет 
ITEM_20150317_000469	Sestas Арбалет 
